ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-01091,{น้ำท่วม},Bangkok Flood Report,ถนน สนามไชย จากซอยเศรษฐการ ถึงถนนท้ายวัง | รายละเอียด: ,,,"13.74772167,100.4942856",ถนน สนามไชย จากซอยเศรษฐการ ถึงถนนท้ายวัง,,พระนคร,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,อยู่ระหว่างดำเนินการแก้ไข,0,0,2025-11-23T22:42:47.328010
EXT-01092,{น้ำท่วม},Bangkok Flood Report,ถนนรอบสนามหลวง | รายละเอียด: ,,,"13.75489044,100.4940338",ถนนรอบสนามหลวง,,พระนคร,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01093,{น้ำท่วม},Bangkok Flood Report,ถนนราชวิถี บริเวณหน้าราชภัฏสวนดุสิตและเชิงสะพานกรุงธน | รายละเอียด: ,,,"13.77958393,100.5056",ถนนราชวิถี บริเวณหน้าราชภัฏสวนดุสิตและเชิงสะพานกรุงธน,,ดุสิต,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01094,{น้ำท่วม},Bangkok Flood Report,ถนนสุรวงศ์ (บริเวณใต้ทางด่วน) | รายละเอียด: ,,,"13.72559261,100.5174561",ถนนสุรวงศ์ (บริเวณใต้ทางด่วน),,บางรัก,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01095,{น้ำท่วม},Bangkok Flood Report,ถนนแจ้งวัฒนะ บริเวณหน้ามหาวิทยาลัยราชภัฎพระนคร | รายละเอียด: ,,,"13.8762598,100.5960846",ถนนแจ้งวัฒนะ บริเวณหน้ามหาวิทยาลัยราชภัฎพระนคร,,บางเขน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01096,{น้ำท่วม},Bangkok Flood Report,วงเวียนบางเขน | รายละเอียด: ,,,"13.87635708,100.5966187",วงเวียนบางเขน,,บางเขน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01097,{น้ำท่วม},Bangkok Flood Report,ถนนรามอินทรา ช่วงหน้าปากซอยรามอินทรา 5 | รายละเอียด: ,,,"13.87021446,100.6042175",ถนนรามอินทรา ช่วงหน้าปากซอยรามอินทรา 5,,บางเขน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01098,{น้ำท่วม},Bangkok Flood Report,ถนนพหลโยธินหน้ากรมทหารราบที่ 11 | รายละเอียด: ,,,"13.86665916,100.5914993",ถนนพหลโยธินหน้ากรมทหารราบที่ 11,,บางเขน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01099,{น้ำท่วม},Bangkok Flood Report,ถนนพหลโยธิน ช่วงหน้าราบ 11 ประตู 2 | รายละเอียด: ,,,"13.86284065,100.5892715",ถนนพหลโยธิน ช่วงหน้าราบ 11 ประตู 2,,บางเขน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01100,{น้ำท่วม},Bangkok Flood Report,ถนนเทพรักษ์ จากหน้าบิ๊กซี (สาขาดอนเมือง) ถึงหน้าคอนโด Episode | รายละเอียด: ,,,"13.88994503,100.6072388",ถนนเทพรักษ์ จากหน้าบิ๊กซี (สาขาดอนเมือง) ถึงหน้าคอนโด Episode,,บางเขน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
