ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-00001,{PM2.5},Air4Thai,สถานี: มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.732846,100.487662","แขวงหิรัญรูจี เขตธนบุรี, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.331983,open,0,0,2025-11-23T22:51:54.331989
EXT-00002,{PM2.5},Air4Thai,สถานี: ริมถนนทางหลวงหมายเลข 3902  | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.636514,100.414262","ริมถนนกาญจนาภิเษก เขตบางขุนเทียน, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.331996,open,0,0,2025-11-23T22:51:54.331997
EXT-00003,{PM2.5},Air4Thai,สถานี: กรมอุตุนิยมวิทยาบางนา | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.666183,100.605742","แขวงบางนา เขตบางนา, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332002,open,0,0,2025-11-23T22:51:54.332003
EXT-00004,{PM2.5},Air4Thai,สถานี: โรงเรียนนนทรีวิทยา  | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.70806667,100.5473333","แขวงช่องนนทรี เขตยานนาวา, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332007,open,0,0,2025-11-23T22:51:54.332008
EXT-00005,{PM2.5},Air4Thai,สถานี: โรงพยาบาลจุฬาลงกรณ์ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.729852,100.536501","ริมถนนพระราม 4 เขตปทุมวัน, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332011,open,0,0,2025-11-23T22:51:54.332011
EXT-00006,{PM2.5},Air4Thai,สถานี: การไฟฟ้าย่อยธนบุรี  | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.727622,100.486568","ริมถนนอินทรพิทักษ์ เขตธนบุรี, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332015,open,0,0,2025-11-23T22:51:54.332016
EXT-00007,{PM2.5},Air4Thai,สถานี: สถานีตำรวจนครบาลโชคชัย  | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 05:00,,,"13.7954248,100.5930298","ริมถนนลาดพร้าว เขตวังทองหลาง, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332020,open,0,0,2025-11-23T22:51:54.332021
EXT-00008,{PM2.5},Air4Thai,สถานี: การเคหะชุมชนดินแดง  | PM2.5: - (AQI -) | PM10: 57 | CO: 0.00 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.76251667,100.5502","ริมถนนดินแดง เขตดินแดง, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332024,open,0,0,2025-11-23T22:51:54.332025
EXT-00009,{PM2.5},Air4Thai,สถานี: กรมประชาสัมพันธ์ | PM2.5: - (AQI -) | PM10: 43 | CO: 0.70 | O3: 51 | NO2: 23 | SO2: -1 | เวลา: 2025-11-23 21:00,,,"13.783185,100.540489","แขวงพญาไท เขตพญาไท, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332028,open,0,0,2025-11-23T22:51:54.332029
EXT-00010,{PM2.5},Air4Thai,สถานี: โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี)  | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.769634,100.614567","แขวงพลับพลา เขตวังทองหลาง, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332033,open,0,0,2025-11-23T22:51:54.332034
EXT-00011,{PM2.5},Air4Thai,สถานี: สำนักงานเขตบึงกุ่ม | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.785212,100.669183",แขวงคลองกุ่ม เขตบึงกุ่ม,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332037,open,0,0,2025-11-23T22:51:54.332038
