ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-03828,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,หน้าโรงเรียนวัดสระเกศ ถนนจักรพรรดิพงษ์,,,"1520891.1864694713,663151.1808468864",หน้าโรงเรียนวัดสระเกศ ถนนจักรพรรดิพงษ์,,,กรุงเทพมหานคร,2025-11-20T21:02:37.593120,,0,0,2025-11-20T21:02:37.593120
EXT-03829,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,หน้าโรงเรียนวัดเทพศิรินทร์ ถนนกรุงเกษม,,,"1520309.0568494208,663942.2691075256",หน้าโรงเรียนวัดเทพศิรินทร์ ถนนกรุงเกษม,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03830,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,แยกนพวงศ์ ถนนหลวง,,,"1520104.0867057147,663921.617614829",แยกนพวงศ์ ถนนหลวง,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03831,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,หน้าสำนักงานสถิติแห่งชาติ ถนนหลานหลวง,,,"1521329.4664432907,663735.4361172251",หน้าสำนักงานสถิติแห่งชาติ ถนนหลานหลวง,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03832,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,หน้าธนาคารกรุงเทพ ถนนหลานหลวง,,,"1521311.1830728978,663740.0278565399",หน้าธนาคารกรุงเทพ ถนนหลานหลวง,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03833,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,หน้าวัดสิตาราม ถนนดำรงค์รักษ์,,,"1521135.377004856,663262.4099620796",หน้าวัดสิตาราม ถนนดำรงค์รักษ์,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03834,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,เชิงสะพานนริศดำรัส ถนนจักพรรดิพงษ์,,,"1521128.7004766574,663194.5764355806",เชิงสะพานนริศดำรัส ถนนจักพรรดิพงษ์,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03835,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,หน้าธนาคารกรุงศรีอยุธยา ถนนจักรพรรดิพงษ์,,,"1521189.8498185317,663197.2396039731",หน้าธนาคารกรุงศรีอยุธยา ถนนจักรพรรดิพงษ์,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03836,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,หน้าวัดโสมนัส ถนนกรุงเกษม,,,"1521834.8159413824,663396.4200106997",หน้าวัดโสมนัส ถนนกรุงเกษม,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03837,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,ตรงข้ามวัดโสมนัส ถนนกรุงเกษม,,,"1521852.2058153602,663415.5105165256",ตรงข้ามวัดโสมนัส ถนนกรุงเกษม,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03838,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,หน้าฝ่ายรักษาความสะอาด สำนักงานเขตป้อมปราบ,,,"1521227.2265693005,663821.7523895534",หน้าฝ่ายรักษาความสะอาด สำนักงานเขตป้อมปราบ,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03839,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,หน้าไปรษณีย์หลานหลวง ถนนจักพรรดิพงษ์,,,"1521365.9843816669,663222.3440729524",หน้าไปรษณีย์หลานหลวง ถนนจักพรรดิพงษ์,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03840,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,ปากซอยถนนคลองถมวัดโสมนัส ถนนจักรพรรดิพงษ์,,,"1521646.5252739661,663091.2312832406",ปากซอยถนนคลองถมวัดโสมนัส ถนนจักรพรรดิพงษ์,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03841,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,ใกล้ปั๊มแก๊สดำรงรักษ์ ถนนดำรงรักษ์,,,"1521091.6200934236,663534.5410945065",ใกล้ปั๊มแก๊สดำรงรักษ์ ถนนดำรงรักษ์,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03842,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,ตรงข้ามปั๊มเชลล์ ถนนกรุงเกษม,,,"1521501.0848634385,663778.574752534",ตรงข้ามปั๊มเชลล์ ถนนกรุงเกษม,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03843,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,สะพานลอยหน้าอาคารชาญอิสระ,,,"1518423.4625251684,665915.7413812479",สะพานลอยหน้าอาคารชาญอิสระ,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03844,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,สะพานลอยลานเลิฟลี่ ถ.นราธิวาสฯ,,,"1518168.5250863638,665134.1219229288",สะพานลอยลานเลิฟลี่ ถ.นราธิวาสฯ,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03845,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,สะพานจักรยาน จากสวนลุมพินีไป,,,"1518360.2822017088,666164.4211864318",สะพานจักรยาน จากสวนลุมพินีไป,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03846,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,ป้ายรถเมลล์รอบสวนลุมพินี,,,"1518497.9199846731,666239.2385914425",ป้ายรถเมลล์รอบสวนลุมพินี,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
EXT-03847,{ที่ตั้งจุดเสี่ยงภัยสะพานลอยและป้ายรถโดยสารประจำทาง},กรมป้องกันและบรรเทาสาธารณภัย,สะพานลอยคนข้ามสะพานเหลือง,,,"1518755.281855455,665178.1594308465",สะพานลอยคนข้ามสะพานเหลือง,,,กรุงเทพมหานคร,2025-11-20T21:02:37.594622,,0,0,2025-11-20T21:02:37.594622
